"filename", "language", "Gradle", "Markdown", "YAML", "Java", "comment", "blank", "total"
"e:\Dev\HBZCleaner\ADMIN_TOWNY_UPDATE.md", "Markdown", 0, 95, 0, 0, 0, 41, 136
"e:\Dev\HBZCleaner\ENTITY_BUFFER_UPDATE.md", "Markdown", 0, 90, 0, 0, 0, 39, 129
"e:\Dev\HBZCleaner\TOWNY_INTEGRATION.md", "Markdown", 0, 86, 0, 0, 0, 41, 127
"e:\Dev\HBZCleaner\build.gradle", "Gradle", 5, 0, 0, 0, 0, 0, 5
"e:\Dev\HBZCleaner\src\main\java\club\ifcserver\laggremover\ai\EnhancedTPSTracker.java", "Java", 0, 0, 0, 0, 0, 1, 1
"e:\Dev\HBZCleaner\src\main\java\club\ifcserver\laggremover\ai\TPSPredictor.java", "Java", 0, 0, 0, 0, 0, 1, 1
"e:\Dev\HBZCleaner\src\main\java\club\ifcserver\laggremover\commands\HBZCommand.java", "Java", 0, 0, 0, 0, 0, 1, 1
"e:\Dev\HBZCleaner\src\main\java\club\ifcserver\laggremover\main\Events.java", "Java", 0, 0, 0, 0, 0, 1, 1
"e:\Dev\HBZCleaner\src\main\java\club\ifcserver\laggremover\main\LaggRemover.java", "Java", 0, 0, 0, 0, 0, 1, 1
"e:\Dev\HBZCleaner\src\main\java\club\ifcserver\laggremover\proto\bin\CCItems.java", "Java", 0, 0, 0, 0, 0, 1, 1
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\ai\EnhancedTPSTracker.java", "Java", 0, 0, 0, 0, 0, 1, 1
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\ai\TPSPredictor.java", "Java", 0, 0, 0, 0, 0, 1, 1
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\commands\HBZCommand.java", "Java", 0, 0, 0, 0, 0, 1, 1
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\inf\Help.java", "Java", 0, 0, 0, 1, 0, 2, 3
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\main\LRCommand.java", "Java", 0, 0, 0, 43, 3, 11, 57
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\main\LaggRemover.java", "Java", 0, 0, 0, 7, 1, 3, 11
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\EntityLimiter.java", "Java", 0, 0, 0, 18, 6, 4, 28
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\LRTabCompleter.java", "Java", 0, 0, 0, 1, 0, 1, 2
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\TownyIntegration.java", "Java", 0, 0, 0, 193, 33, 41, 267
"e:\Dev\HBZCleaner\src\main\resources\config.yml", "YAML", 0, 0, 2, 0, 2, 1, 5
"e:\Dev\HBZCleaner\src\main\resources\plugin.yml", "YAML", 0, 0, 15, 0, 0, 0, 15
"Total", "-", 5, 271, 17, 263, 45, 193, 794
